FITS File Path,Object Type
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_6.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_26.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_15.csv,AGN
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_13.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_7.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_10.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_27.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_28.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_16.csv,AGN
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_10.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_25.csv,AGN
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_27.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_18.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/agns/smbh_BlackfireX.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/smbh_AndromedaCore.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_12.csv,AGN
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_23.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_29.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_2.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_20.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_18.csv,AGN
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_4.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_12.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/agns/smbh_Vortex8.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/smbh_DraconisA.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/smbh_QuasarX.csv,AGN
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_5.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_28.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_30.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_14.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_6.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_3.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/smbh_VoidShadow.csv,AGN
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_11.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_22.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_13.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_24.csv,AGN
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_9.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_22.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_16.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_3.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_21.csv,AGN
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_26.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_4.csv,AGN
